Mirror , Wizard , Giant Snowball , Goblin Barrel , Mega Knight , Valkyrie , Tesla , Barbarian Barrel , #90PU2RYPC
Bats , Prince , Valkyrie , Archer Queen , Mega Knight , Mirror , Arrows , Executioner , #9QQQY2C9P
Golem , Electro Dragon , Tornado , Lightning , Barbarian Barrel , Tombstone , Mega Minion , Elite Barbarians , #2UVJRQVP
Valkyrie , Prince , Executioner , Rocket , Goblin Hut , P.E.K.K.A , Elite Barbarians , Mega Knight , #8G9JQ2C0R
Witch , Rocket , Miner , Skeleton Army , Wizard , Arrows , Minion Horde , Prince , #8P00QJ0QC
Mega Knight , Inferno Dragon , Goblin Gang , Lightning , Dark Prince , Lumberjack , Zap , Electro Wizard , #P8L9UQ8V8
Bowler , Fireball , Spear Goblins , Minion Horde , Goblin Barrel , Bomb Tower , Arrows , Prince , #99JU00YQ
Graveyard , Valkyrie , Giant Skeleton , Baby Dragon , Fireball , Goblin Hut , Goblin Gang , Freeze , #8LJJ9QC8G
Knight , Inferno Dragon , Balloon , Goblin Gang , Valkyrie , Wizard , Ice Wizard , Mortar , #220UUJP2R
Bomber , Bats , Goblin Barrel , Magic Archer , Skeleton Army , Mega Knight , Wizard , Hog Rider , #YLY8LRLJR
Miner , Ice Wizard , Zap , Cannon , Goblins , Minions , Mini P.E.K.K.A , Fireball , #2JR90LQG
Mini P.E.K.K.A , Skeleton Army , Magic Archer , Wizard , Bats , Zap , P.E.K.K.A , Hog Rider , #Q8P00VCQU
Witch , P.E.K.K.A , Valkyrie , Graveyard , Arrows , Firecracker , Three Musketeers , Freeze , #2GJGL8QLP
Ice Golem , Hog Rider , Musketeer , Fireball , Ice Spirit , Skeletons , Cannon , The Log , #20UPPLR20
Skeleton Army , Goblin Barrel , Freeze , Fireball , Arrows , Minion Horde , Elite Barbarians , Valkyrie , #2CR09VUUY
Lumberjack , Balloon , Heal Spirit , Zap , Inferno Dragon , Dark Prince , Skeleton Army , The Log , #PYYL8QJPC
